name,price,description,in_stock,reviews
Смартфон Apple iPhone 17 Pro 12/256GB Silver,141890,Объем оперативной памяти: 12 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 3988 мА*ч / Тип матрицы: OLED Super Retina XDR Display  / Габариты (В х Ш х Г): 8.75 х 71.9 х 150 мм,Есть в наличии,
Смартфон Apple iPhone 15 6/128GB Black,75290,Объем оперативной памяти: 6 GB / Объем встроенной памяти: 128 GB  / Емкость аккумулятора: 3349 мА*ч / Тип матрицы: Super Retina XDR  / Габариты (В х Ш х Г): 7.8 х 71.6 х 159.9 мм,Есть в наличии,
Смартфон Apple iPhone 17 8/256GB Black,102290,Объем оперативной памяти: 8 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 3692 мА*ч / Тип матрицы: OLED Super Retina XDR Display  / Габариты (В х Ш х Г): 7.95 х 71.5 х 149.6 мм,Есть в наличии,
Смартфон Samsung Galaxy A07 6/128GB Black SM-A075FZKHSKZ Galaxy A07 6/128GB Black SM-A075FZKHSKZ,11890,Объем оперативной памяти: 6 GB / Объем встроенной памяти: 128 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: PLS LCD  / Габариты (В х Ш х Г): 7.6 х 77.4 х 167.4 мм,На витрине,
Смартфон Apple iPhone 17 Pro 12/256GB Cosmic Orange,141590,Объем оперативной памяти: 12 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 3988 мА*ч / Тип матрицы: OLED Super Retina XDR Display  / Габариты (В х Ш х Г): 8.75 х 71.9 х 150 мм,Есть в наличии,
Смартфон Samsung Galaxy A17 8/256GB Black SM-A175FZKOSKZ,19290,Объем оперативной памяти: 8 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: Super AMOLED  / Габариты (В х Ш х Г): 7.5 х 77.9 х 164.4 мм,На витрине,
Смартфон Apple iPhone 16 8/128GB Black,87490,Объем оперативной памяти: 8 GB / Объем встроенной памяти: 128 GB  / Емкость аккумулятора: 3477 мА*ч / Тип матрицы: OLED  / Габариты (В х Ш х Г): 7.8 х 71.6 х 147.6 мм,Есть в наличии,
Смартфон Apple iPhone 17 Pro Max 12/256GB Deep Blue,152390,Объем оперативной памяти: 12 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 5088 мА*ч / Тип матрицы: OLED Super Retina XDR Display  / Габариты (В х Ш х Г): 8.75 х 78 х 163.4 мм,Есть в наличии,
Смартфон Huawei Nova 15 Max 8/256G Blush Gold,30490,Объем оперативной памяти: 8 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 8500 мА*ч / Тип матрицы: OLED  / Габариты (В х Ш х Г): 8 х 78 х 163.3 мм,На витрине,
Смартфон Samsung Galaxy A26 5G 8/256GB Black,25490,Объем оперативной памяти: 8 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: Super AMOLED  / Габариты (В х Ш х Г): 7.7 х 77.5 х 164 мм,На витрине,
Смартфон Samsung Galaxy A07 6/128GB Lavender SM-A075FLVHSKZ,11890,Объем оперативной памяти: 6 GB / Объем встроенной памяти: 128 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: PLS LCD  / Габариты (В х Ш х Г): 7.6 х 77.4 х 167.4 мм,На витрине,
Смартфон Samsung Galaxy A36 5G 256GB White (SM-A366EZAGSKZ),30490,Объем оперативной памяти: 8 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: Super AMOLED  / Габариты (В х Ш х Г): 7.4 х 78.2 х 162 мм,Есть в наличии,
Смартфон Samsung Galaxy A17 128GB Black SM-A175FZKCSKZ,16990,Объем оперативной памяти: 6 GB / Объем встроенной памяти: 128 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: Super AMOLED  / Габариты (В х Ш х Г): 7.5 х 77.9 х 164.4 мм,На витрине,
Смартфон Samsung Galaxy A57 5G 8/256GB Gray,42390,Объем оперативной памяти: 8 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: Super AMOLED Plus  / Габариты (В х Ш х Г): 6.9 х 76.8 х 161.5 мм,На витрине,
Смартфон Samsung Galaxy A07 4/64GB Black SM-A075FZKDSKZ,10090,Объем оперативной памяти: 4 GB / Объем встроенной памяти: 64 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: PLS LCD  / Габариты (В х Ш х Г): 7.6 х 77.4 х 167.4 мм,На витрине,
Смартфон Apple iPhone 13 4/128GB Midnight,55090,Объем оперативной памяти: 4 GB / Объем встроенной памяти: 128 GB  / Емкость аккумулятора: 3095 мА*ч / Тип матрицы: Super Retina XDR  / Габариты (В х Ш х Г): 7.65 х 71.5 х 146.7 мм,Есть в наличии,
Смартфон Samsung Galaxy A17 8/256GB Gray SM-A175FZAOSKZ,20290,Объем оперативной памяти: 8 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: Super AMOLED  / Габариты (В х Ш х Г): 7.5 х 77.9 х 164.4 мм,Есть в наличии,
Смартфон Samsung Galaxy A07 6/128GB Light Green SM-A075FZGHSKZ,11890,Объем оперативной памяти: 6 GB / Объем встроенной памяти: 128 GB  / Емкость аккумулятора: 5000 мА*ч / Тип матрицы: PLS LCD  / Габариты (В х Ш х Г): 7.6 х 77.4 х 167.4 мм,На витрине,
Смартфон Samsung Galaxy S25 12/128GB Navy,66990,Объем оперативной памяти: 12 GB / Объем встроенной памяти: 128 GB  / Емкость аккумулятора: 4000 мА*ч / Тип матрицы: Dynamic AMOLED 2X  / Габариты (В х Ш х Г): 7.2 х 70.5 х 146.9 мм,Есть в наличии,
Смартфон Apple iPhone 15 6/256GB Black,91090,Объем оперативной памяти: 6 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 3349 мА*ч / Тип матрицы: Super Retina XDR  / Габариты (В х Ш х Г): 7.8 х 71.6 х 159.9 мм,На витрине,
Смартфон Apple iPhone 15 6/128GB Blue,75290,Объем оперативной памяти: 6 GB / Объем встроенной памяти: 128 GB  / Емкость аккумулятора: 3349 мА*ч / Тип матрицы: Super Retina XDR  / Габариты (В х Ш х Г): 7.8 х 71.6 х 159.9 мм,На витрине,
Смартфон Honor 400 Lite 8/256GB Velvet Grey,28790,Объем оперативной памяти: 8 GB / Объем встроенной памяти: 256 GB  / Емкость аккумулятора: 5230 мА*ч / Тип матрицы: AMOLED  / Габариты (В х Ш х Г): 7.29 х 74.55 х 161 мм,Есть в наличии,
Ноутбук ARG A15 Air AMD Ryzen 5 3500U 16GB / SSD 512GB / AMD Radeon Vega 8 / Win 11,40690,Категория: Для работы и учебы  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: AMD® Radeon Vega 8  / Операционная система: Windows 11  / Модель процессора: 3500U  / Сканер отпечатков пальцев: Да,Есть в наличии,
Ноутбук Acer Nitro Lite i5-13420H 16GB / SSD 512GB / GeForce RTX 3050 6GB / NO OS / NH.DAAER.001,76290,Категория: Для игр и продакшена  / Объем оперативной памяти: 16 GB  / Тип и объем накопителя: SSD 512GB  / Модель видеоадаптера: RTX 3050 6GB  / Операционная система: Без ОС  / Модель процессора: 13420H  / Сканер отпечатков пальцев: Нет,На витрине,
